"";"x";"y";"count";"LogSoilmean"
"686981";-62,975;6,98888889;1;0,596134126404319
"697143";-63,2583333333333;6,93888889;3;0,444059899142955
"700341";-66,5083333333333;6,92222222333333;1;0,0345990175635101
"707230";-64,7916666666667;6,88888889;1;0,596134126404319
"707315";-63,375;6,88888889;1;0,0413926851582251
"717465";-63,8583333333333;6,83888889;1;0,48917378971501
"717791";-58,425;6,83888889;1;-0,283322691443687
"717792";-58,4083333333333;6,83888889;1;-0,283322691443687
"724592";-58,175;6,80555555666667;1;-0,846872639932811
"727890";-59,7583333333333;6,78888889;3;-0,690597249163377
"727891";-59,7416666666667;6,78888889;1;-0,932422237834673
"727892";-59,725;6,78888889;3;0,0709761075082996
"731084";-63,075;6,77222222333333;1;-0,283322691443687
"734265";-66,6083333333333;6,75555555666667;1;0,0345990175635101
"734330";-65,525;6,75555555666667;1;1,02809692768756
"741143";-65,075;6,72222222333333;3;0,537828418590687
"741144";-65,0583333333333;6,72222222333333;3;-0,258059501133844
"744587";-64,225;6,70555555666667;1;-0,707147287903577
"751653";-59,5583333333333;6,67222222333333;1;-1,03151233108068
"768278";-65,225;6,58888889;1;0,326134281164145
"768279";-65,2083333333333;6,58888889;2;0,770095257631682
"768306";-64,7583333333333;6,58888889;1;-1,27179103258792
"768668";-58,725;6,58888889;5;-0,62949007570792
"768669";-58,7083333333333;6,58888889;2;-1,03343125991095
"771602";-66,375;6,57222222333333;17;-0,420375508330296
"772085";-58,325;6,57222222333333;2;-0,283322691443687
"775454";-58,725;6,55555555666667;2;-1,01246322917646
"778496";-64,575;6,53888889;1;0
"778583";-63,125;6,53888889;1;-0,846872639932811
"778877";-58,225;6,53888889;1;-1,13444028198724
"782139";-60,4083333333333;6,52222222333333;2;0,229571796984672
"782228";-58,925;6,52222222333333;1;-0,932422237834673
"782267";-58,275;6,52222222333333;1;0,51028096609208
"785166";-66,5083333333333;6,50555555666667;4;-0,616186809706292
"785343";-63,5583333333333;6,50555555666667;1;-1,25972941984134
"785381";-62,925;6,50555555666667;1;-0,707147287903577
"785382";-62,9083333333333;6,50555555666667;2;-0,748629675215676
"785638";-58,6416666666667;6,50555555666667;1;-0,582861703080335
"785654";-58,375;6,50555555666667;1;-0,582861703080335
"785666";-58,175;6,50555555666667;1;0,596134126404319
"789032";-58,625;6,48888889;2;-0,428004561546911
"792431";-58,525;6,47222222333333;1;-0,790112062527776
"795340";-66,5916666666667;6,45555555666667;1;0,167736059908563
"795822";-58,5583333333333;6,45555555666667;1;-0,932422237834673
"798918";-63,5083333333333;6,43888889;1;-0,851336377953409
"802607";-58,575;6,42222222333333;1;-0,283322691443687
"802626";-58,2583333333333;6,42222222333333;1;-0,707147287903577
"805997";-58,625;6,40555555666667;1;-0,851336377953409
"809387";-58,675;6,38888889;2;-0,891879307894041
"809388";-58,6583333333333;6,38888889;1;-0,932422237834673
"812319";-66,3583333333333;6,37222222333333;1;-0,851336377953409
"812487";-63,5583333333333;6,37222222333333;1;-0,707147287903577
"812666";-60,575;6,37222222333333;1;-0,41067747423808
"815819";-64,575;6,35555555666667;1;0,51028096609208
"815888";-63,425;6,35555555666667;1;-0,283322691443687
"819407";-61,325;6,33888889;1;-0,598216403878995
"819525";-59,3583333333333;6,33888889;1;-0,851336377953409
"819590";-58,275;6,33888889;2;-0,388639863668118
"822567";-65,2083333333333;6,32222222333333;8;-0,190815039578662
"822608";-64,525;6,32222222333333;1;1,3724544553548
"826055";-63,625;6,30555555666667;1;0,278431158893414
"829241";-67,075;6,28888889;3;-0,68520255467971
"829641";-60,4083333333333;6,28888889;2;-0,829763689428758
"832791";-64,4583333333333;6,27222222333333;2;0,751560708903431
"832892";-62,775;6,27222222333333;1;-0,924165029842268
"836147";-65,075;6,25555555666667;1;-0,37913651383481
"836424";-60,4583333333333;6,25555555666667;1;-1,15366353859475
"836426";-60,425;6,25555555666667;1;0,711128238476238
"839580";-64,4083333333333;6,23888889;14;-0,542148764964544
"839582";-64,375;6,23888889;2;-0,99928628092385
"839637";-63,4583333333333;6,23888889;2;-0,933342318579083
"842808";-67,1583333333333;6,22222222333333;1;0,51028096609208
"843149";-61,475;6,22222222333333;1;-1,26846823327917
"843150";-61,4583333333333;6,22222222333333;2;-0,994188516653485
"846363";-64,4583333333333;6,20555555666667;2;0,686227227677401
"846375";-64,2583333333333;6,20555555666667;1;-0,37913651383481
"846543";-61,4583333333333;6,20555555666667;1;0,326036592338234
"846637";-59,8916666666667;6,20555555666667;3;-0,646970077262865
"846717";-58,5583333333333;6,20555555666667;2;-1,40234031159512
"849759";-64,4083333333333;6,18888889;1;-0,439729859079229
"850112";-58,525;6,18888889;1;-1,03151233108068
"850169";-57,575;6,18888889;1;1,39967372148104
"853501";-58,5916666666667;6,17222222333333;1;-0,851336377953409
"856427";-66,375;6,15555555666667;7;-0,380861436394967
"856456";-65,8916666666667;6,15555555666667;1;-0,90606834132946
"856545";-64,4083333333333;6,15555555666667;1;0,372975838921061
"859968";-63,9083333333333;6,13888889;2;0,238020353413459
"859988";-63,575;6,13888889;1;-0,846872639932811
"859991";-63,525;6,13888889;1;-0,851336377953409
"863370";-63,7583333333333;6,12222222333333;7;-0,891434383321038
