latitude	longitude	logSoil
-10.5	-71.33333333	0.913813852
-14.55	-70.275	0.91169015
-5.239722222	-40.54	0.904174363
1.7	-76.78333333	0.897627091
-12.64972222	-61.38972222	0.894869644
-21	-56	0.892094602
-32.95	-53.04972222	0.891537453
-13.39972222	-43.18	0.888179492
-8.869722222	-35.2	0.886490733
-3.48	-53.04	0.883661431
-15.72	-70.05972222	0.883093347
1.8	-76.76666667	0.880813592
-3.67	-61.47	0.869818214
10.28333333	-67.61666667	0.86923172
-6.769722222	-51.77	0.868056353
-16.4	-49	0.86332286
0.090277778	-78.41666667	0.86332286
-16.41666667	-71.41666667	0.86332286
-0.233333333	-78.5	0.86332286
-15.81972222	-70.06972222	0.860337997
-4.11	-46.34	0.857935268
-10.42	-36.47	0.857332502
-12.52972222	-69.16	0.857332496
-7.23	-38.81972222	0.856728907
-1.639722222	-55.36	0.853698213
-12.55	-62.72972222	0.849419414
-0.25	-79	0.84509804
-6.4	-36.77972222	0.844477171
-10.14972222	-62.56972222	0.840733229
-15.76277778	-74.40777778	0.840106102
-12.38333333	-70.36666667	0.838849091
10.06666667	-69.11666667	0.832508913
-10.97	-44.75	0.829946693
-5.84	-80.63972222	0.829946691
-6.179722222	-39.38972222	0.826722526
-11.93972222	-49.79	0.823474221
-9.699722222	-37.4	0.822821649
-12.52972222	-69.31972222	0.820857977
2.283333333	-76.45	0.819543936
0.566666667	-77.98333333	0.819543936
1.262777778	-77.28972222	0.819543936
0.025	-79.36666667	0.819543936
-3.579722222	-40.33	0.817565362
-28.72972222	-55.84972222	0.816241287
-10.03972222	-51.18	0.8142476
-28.57972222	-54.16972222	0.810232519
-12.72	-38.91972222	0.808210967
-3.788055556	-73.41972222	0.80617998
-5.4	-39.81972222	0.806179974
-6.699722222	-39.27	0.798650659
-6.329722222	-39.77	0.791690656
-9.119722222	-37.59972222	0.790285164
-13.82972222	-75.26972222	0.789580706
-30	-56	0.78816838
-15.61972222	-58.83	0.788168356
-9.383333333	-36.85	0.77815125
-15.40472222	-74.83194444	0.769377321
-16.85	-41.95	0.764922973
-11.88333333	-49.66666667	0.763427994
-6.42	-36.63	0.761175802
-7.63	-37.84972222	0.757396044
-11.76	-39.45	0.756636125
-4.84	-62.72	0.755874864
-0.466666667	-78.71111111	0.755874856
-21	-57	0.753583061
-21.52694444	-56.61472222	0.752048448
-7.309722222	-38.41972222	0.745074791
-20.815	-41.12666667	0.741151593
-7.269722222	-36.25	0.740362692
-3.65	-68.86	0.739572341
-12.8	-75.19972222	0.738780541
-31.54972222	-53.41972222	0.732393761
-8.283333333	-73.56666667	0.73239376
-21.82972222	-57.66972222	0.730782279
-5.449722222	-40.13972222	0.730782276
-11.88	-61.06972222	0.728353794
-13.02	-39.04	0.725911627
0.016666667	-78.11666667	0.72427587
9.283333333	-69.98333333	0.72427587
-15.61972222	-58.83	0.72427586
-5.65	-35.58	0.722633932
-3.619722222	-42.4	0.722633922
-2.029722222	-68.56972222	0.720159311
-10.19972222	-37.68	0.71850169
-22.5	-46.83	0.717670508
-3.599722222	-39.09972222	0.716837713
-10.92	-68.94972222	0.706717788
-7.199722222	-36.4	0.705863703
-5.599722222	-35.65	0.704150525
-10.75	-74.23694444	0.704150507
-3.299722222	-39.4	0.700703729
-5.329722222	-46.25	0.700703718
2.5	-72.63333333	0.699837726
-0.233333333	-78.5	0.698970004
-13.09	-43.41972222	0.694605194
-9.583333333	-70.58333333	0.69019608
-8.1	-37.66972222	0.686636269
-11.03972222	-58.59972222	0.68484537
-6.039722222	-40.33	0.684845358
-30.18	-57.45	0.683047046
-5.46	-46.13	0.68124125
-11.88333333	-49.66666667	0.681241237
0.6	-77.95	0.681241237
-12.81972222	-39.84972222	0.680335516
-9.739722222	-66.23972222	0.673942
-9.649722222	-66.25	0.673942
-9.76	-72.75	0.666517974
-5.42	-44.41972222	0.662757832
3.329722222	-51.16972222	0.661812676
-6.119722222	-37.59972222	0.657055844
-23.5	-54.75	0.65321251
-11.69972222	-75.62	0.651278013
-31.37972222	-54.7	0.646403738
-16.35083333	-71.21583333	0.645422272
-3.897777778	-73.34444444	0.643452685
1.83	-55.18	0.6394865
-22.5	-53	0.639486495
-6.13	-49.38	0.635483759
-23.18	-53.72	0.632457282
-9.56	-53.81972222	0.628388939
-23.5	-47.5	0.62428211
-16.14972222	-57.56	0.624282083
-1.366666667	-47.18333333	0.62324929
-20.12	-40.63	0.618048097
-12.5	-60.16666667	0.612783857
-22.46666667	-47.48333333	0.612783857
-0.25	-79	0.612783857
-6.23	-36.02972222	0.605305058
-0.25	-79	0.602059991
0.940833333	-77.83527778	0.602059991
-0.516666667	-76.93333333	0.602059991
-13.42	-48.11	0.594392546
-16.43333333	-71.6	0.591064607
-11.14972222	-38.84972222	0.579783608
-1.3	-78.65	0.579783597
-4.383333333	-77.21666667	0.579783597
-7.699722222	-35.75	0.572871595
2.049722222	-61.68	0.562292864
1.23	-67.8	0.562292851
-11.32972222	-37.7	0.557507196
-10.90972222	-61.20972222	0.556302491
-12.67	-69.37	0.551449996
-14.40972222	-48.20972222	0.550228348
-10.68	-40.33	0.541579239
-26.17	-50	0.534026096
-4.133333333	-69.95	0.531478917
-26.42	-48.83	0.530199704
-12.67	-40.66972222	0.52504482
-22	-50	0.519827993
-30.25	-53.04972222	0.51851395
-8.949722222	-67.20972222	0.518513935
-8.069722222	-40.41972222	0.506505042
-8.949722222	-39.20972222	0.502427115
-3.809722222	-45.59972222	0.498310551
-28.5	-54.5	0.491361698
-28.51666667	-51.03333333	0.491361694
1.483333333	-77.0975	0.491361694
-15.45583333	-74.64777778	0.477121271
0.216666667	-50.91666667	0.477121255
-15.47	-59.75	0.468347324
-11.02	-62.27972222	0.465382844
-21.63333333	-42.11666667	0.462397998
-5.349722222	-49.11972222	0.46089784
-9.539722222	-42.97972222	0.454844864
-8.67	-40.13972222	0.450249113
10.33972222	-67.65194444	0.447158031
-10.34	-36.9	0.444044796
-30.82972222	-51.75	0.437750573
-9.279722222	-58.11	0.436162648
-5.85	-80.61666667	0.431363764
-26.67	-51.52972222	0.426511269
-12.5	-74.69972222	0.423245876
-10.94972222	-44.79972222	0.418301305
-16.37	-40.47972222	0.414973352
-4.15	-70.41972222	0.414973349
-4.383333333	-80.3	0.414973348
5.716666667	-57.88333333	0.414973348
-16.1	-49.70972222	0.413299754
-3.809722222	-38.9	0.409933125
-4.3	-42.29972222	0.408239961
-7.539722222	-62.86972222	0.408239956
-2.589722222	-76.27972222	0.404833718
1.11	-60.52972222	0.403120516
-10.27972222	-58.15	0.397940019
-12.56666667	-69.33333333	0.397940009
2.333333333	-72.7	0.397940009
-7.233333333	-36.2	0.397940009
-9.109722222	-40.65	0.396199355
-13.42	-40.59972222	0.394451674
-8.17	-57.16972222	0.390935108
-18.5	-56	0.389166091
-16.14972222	-55.79972222	0.389166078
-13.75	-49.45	0.38738982
-3.72	-68.75	0.382017037
-9.25	-62.36972222	0.380211257
-21.27888889	-40.96527778	0.380211233
-28.93	-56.11972222	0.36735593
-13.01	-68.98972222	0.363611979
-5.67	-40.27	0.359835487
-14.97	-57.13972222	0.356025855
-3.74	-39.95	0.352182522
-7.699722222	-35.65	0.348304866
-22.89972222	-43.65	0.342422687
-5.983333333	-80.9	0.342422681
10.36277778	-67.58416667	0.342422681
-9.229722222	-52.25	0.336459723
-5.96	-80.9	0.334453761
-13.25	-60.31972222	0.326335856
-9.183333333	-66.93333333	0.322219295
0.616666667	-51.73333333	0.322219295
10.36388889	-67.67027778	0.322219295
-8.84	-53.54972222	0.320146291
-3.859722222	-38.41972222	0.320146287
-5.76	-77.23972222	0.31806334
-5.92	-81.08	0.318063331
-16.11	-48.61972222	0.313867227
-16.09	-58.59972222	0.307496044
-3.339722222	-45.66972222	0.307496028
-15.97972222	-49.09972222	0.305351378
-25.05	-47.93333333	0.301029996
0.616666667	-77.93333333	0.301029996
-14.56972222	-55.09972222	0.290034601
-5.32	-69.87972222	0.287801719
-11.09	-50.50972222	0.283301234
2.483333333	-76.46666667	0.278753601
-22.73333333	-43.73333333	0.278753601
1.166666667	-77.36666667	0.278753601
-7.15	-51.54	0.271841615
-11.22	-69.55972222	0.271841612
-8.84	-49.61972222	0.267171728
-10.40972222	-58.13972222	0.267171719
-10.81	-37.06972222	0.260071386
1.37	-55.66972222	0.260071382
-22.75	-43.68333333	0.255272505
-25.66666667	-49.18333333	0.255272505
-10.39972222	-42.45	0.252853036
-1.1	-48.9	0.246252315
-7.139722222	-48.68	0.245512675
-0.25	-49.97972222	0.24303805
-12.82972222	-42.4	0.23552846
-4.48	-73.65	0.235528458
-9.199722222	-38.04	0.232996111
-3.75	-73.25	0.230448921
10.36388889	-67.67027778	0.230448921
10.34805556	-67.68805556	0.230448921
-12.68861111	-69.14777778	0.230448921
-5.48	-38.13972222	0.22788672
-8.22	-41.16972222	0.227886706
-28.5	-53.41972222	0.225309288
-17.48972222	-57.29972222	0.222716466
-22.67	-47.66972222	0.220108096
-30.78	-51.83	0.209515023
-5.766666667	-76.08333333	0.204119983
-4.05	-79.36666667	0.204119983
-15.48972222	-47.29	0.204119978
-16.80972222	-55.99	0.201397111
-9.3	-38.41972222	0.198657103
-20.17	-54.83	0.190331705
-12.35	-48.04972222	0.190331703
-16.28	-49.18	0.190331691
-9.8	-35.86972222	0.187520719
-3.049722222	-40.25972222	0.184691441
-18.54972222	-45.34972222	0.181843605
-6.9	-35.13	0.181843597
-4.769722222	-68.84972222	0.18184359
-12.27	-46.70972222	0.178976941
-3.4	-66.51972222	0.178976941
-12.23972222	-38.38	0.17897694
-2.9	-54.93333333	0.176091259
10.34805556	-67.68805556	0.176091259
-7.55	-34.95	0.170261727
-9.02	-66.69972222	0.161368001
-1.62	-68.12	0.158362486
-19.10861111	-40.87305556	0.155336032
-6.599722222	-36.97972222	0.155336032
-4.469722222	-71.3	0.152288349
-3.099722222	-51.90972222	0.152288343
0.7	-54.13	0.146128046
-15.60833333	-47.75138889	0.146128036
-12.6	-49.59972222	0.143014807
-9.93	-56.66972222	0.133538904
-18.5	-55.5	0.123851647
-15	-43.79972222	0.123851645
-13.84	-42.56972222	0.120573927
-10.63	-44.56972222	0.117271306
-21.13333333	-42.08333333	0.113943352
-19.28333333	-46.15	0.113943352
-20.75	-57.25	0.113943351
-11.03972222	-37.36	0.11058971
-9.479722222	-44.65	0.110589706
-15.35	-49.95	0.100370538
-28.35	-53.91972222	0.09691002
-2.829722222	-68.84972222	0.093421702
-1.47	-68.18	0.089905112
-22.89972222	-43.7	0.08990511
-22.92	-43.33	0.089905109
-9.3	-36.11972222	0.086359833
-25.97972222	-48.72	0.086359825
-10.77972222	-61.15	0.082785362
-18.6	-45.36972222	0.082785362
-2.4	-54.01666667	0.079181246
-4.35	-79.61666667	0.079181246
-4.466666667	-77.55	0.079181246
-10.89972222	-42.9	0.07554697
-2.22	-67.23972222	0.071882008
-29	-55.5	0.071882007
-30.27	-54.56972222	0.068185864
-9.5	-49.25	0.068185861
-5.929722222	-44.93	0.068185859
-5.4	-48.93972222	0.056904853
-8.34	-68.33972222	0.056904851
-8.319722222	-72.12	0.056904849
-5.82	-80.62972222	0.049218032
-6.98	-40.24	0.049218022
-4.3	-79.7	0.041392685
6.883333333	-63.36666667	0.041392685
-18.66666667	-49.13333333	0.041392685
2.5	-76.95	0.041392685
-14.27	-50.38972222	0.04139268
-9.5	-60.33	0.037426505
-11.14972222	-64.72	0.037426498
2.599722222	-61.77972222	0.033423752
-10.47	-60.11	0.029383774
-17.35	-45.11972222	0.025305862
-11.11972222	-64.08	0.021189299
-13.89972222	-72.09972222	0.017033342
-15.52972222	-53.75	0.017033335
-0.079722222	-64.34972222	0.012837218
-0.72	-47.5	0.008600181
-20.40555556	-40.75361111	0.008600176
-0.75	-48.52	0.00860017
-21.75	-57	0.008600163
-4.05	-54.72	0.004321382
-12.94972222	-43.79972222	0.004321382
-0.37	-64.58	0.004321379
4.429722222	-61.15972222	0.004321376
-3.316666667	-57.45	0
2.35	-76.4	0
9	-64.15	0
2.809722222	-60.7	-0.004364798
1.2	-55.63	-0.013228266
1.029722222	-68.43	-0.013228267
-17.82972222	-54.66972222	-0.017728764
3.17	-62.31972222	-0.026872143
-7.769722222	-48.5	-0.026872143
-15.6	-47.7	-0.036212167
-11.88	-55.47972222	-0.04095861
-14.77	-60.25972222	-0.04095861
-1.97	-47.47972222	-0.04095862
-2.933333333	-63.61666667	-0.045757491
9.283333333	-69.43333333	-0.045757491
-15.06972222	-50.95972222	-0.0457575
-4.119722222	-69.77972222	-0.050609987
-19.32972222	-40	-0.055517323
1.75	-63.61972222	-0.055517336
-11.5	-41.22	-0.055517337
-4.82	-60.25	-0.060480731
-4.369722222	-38.5	-0.060480741
-5.469722222	-71.68	-0.065501547
-10.97	-58.63	-0.065501553
-14.39972222	-54.04	-0.070581064
1.179722222	-51.84972222	-0.070581067
3.4	-60.88	-0.070581068
-25	-47.91972222	-0.070581074
-15.85	-56.86972222	-0.070581077
-13.22972222	-46.04	-0.080921902
-1.399722222	-59.7	-0.080921912
2.029722222	-67.37	-0.080921917
-8.899722222	-35.15972222	-0.086186145
-8.25	-63.31972222	-0.086186149
-13.52	-61.83	-0.091514988
-3.71	-41.02	-0.091514988
-2.216666667	-56.91666667	-0.096910013
-25.1	-51.53333333	-0.096910013
4.166666667	-72.91666667	-0.096910013
-3.8	-79.9	-0.096910013
-3.683333333	-79.58333333	-0.096910013
5.25	-55.71666667	-0.096910013
-18.62	-39.86972222	-0.102372906
-7.78	-43.13	-0.113509264
-2.22	-56.91972222	-0.113509282
-13.14972222	-40.2	-0.119186394
-8.149722222	-48.4	-0.119186414
-2.67	-56.41972222	-0.119186417
-14.72972222	-59.02	-0.119186423
-9.09	-67.69972222	-0.124938729
0.72	-68.44972222	-0.124938743
-10.89972222	-38.09972222	-0.130768264
-16.54972222	-55.70972222	-0.130768267
-4.48	-42.31	-0.130768267
-7.8	-60.25	-0.130768274
-6.409722222	-55.56972222	-0.136677142
-0.33	-62.31972222	-0.142667509
-7.679722222	-73.72	-0.142667511
1.539722222	-68.31972222	-0.14874166
-0.9	-64.98	-0.154901956
-3.75	-38.95	-0.154901958
-2.883333333	-60.1	-0.15490196
-0.316666667	-60.85	-0.15490196
-0.366666667	-62.75	-0.15490196
-22.73333333	-45.58333333	-0.15490196
4.5	-71.5	-0.15490196
-28.59	-49.31972222	-0.154901967
-12.26	-61.25972222	-0.15490197
-18.5	-54.83	-0.161150904
-8.93	-58.91972222	-0.161150911
0.419722222	-57.38	-0.16749108
-3.45	-62.2	-0.167491084
-0.579722222	-65.77972222	-0.167491087
-2.539722222	-66.08	-0.180456049
-10.68	-54.7	-0.187086632
7.78	-66.41972222	-0.187086635
-0.6	-52.25	-0.193820017
3.2	-51.25	-0.200659445
-14.36972222	-56.95	-0.200659446
-14.14	-60.41972222	-0.200659454
-5.909722222	-67.59972222	-0.200659459
0.219722222	-51.16972222	-0.207608302
-10.6	-58.09972222	-0.214670168
-9.5	-44.59972222	-0.221848747
-0.583333333	-65.78333333	-0.22184875
-7.05	-72.65	-0.22184875
4.5	-71.5	-0.22184875
-4.583333333	-77.93333333	-0.22184875
-14.31	-60.15	-0.221848754
-13.3	-52.09972222	-0.221848759
1.33	-56.84972222	-0.229147979
-11.11972222	-42.34972222	-0.22914799
-1.149722222	-49.2	-0.236572002
-14.18	-51.36972222	-0.236572008
0.05	-57.5	-0.236572016
-24.67	-47.91972222	-0.244125134
-11.35	-40	-0.251811962
-6.119722222	-60.45	-0.251811971
-16.46972222	-43.38	-0.259637307
-21.35	-47.73333333	-0.259637311
-17.82972222	-51.5	-0.259637311
-15.48972222	-57.59972222	-0.259637313
2.67	-51.72972222	-0.267606232
-12.85	-41.45	-0.267606235
-0.9	-53.22	-0.267606238
-14.5	-60.25972222	-0.267606247
-14.59	-57.16972222	-0.275724135
1.35	-54.27972222	-0.283996647
-13.47972222	-61.09972222	-0.283996656
-16.59	-40.90972222	-0.283996658
-9.199722222	-49.45	-0.292429813
-10.92	-59.34972222	-0.292429818
-20.75	-49	-0.292429826
0.829722222	-56.58	-0.301029984
-19.15444444	-48.165	-0.30102999
4.5	-71.5	-0.301029996
1.35	-54.28333333	-0.301029996
-22.55	-50.31666667	-0.301029996
4.07	-61.04	-0.301029999
-7.829722222	-67.62972222	-0.318758752
-11.27972222	-62.25972222	-0.318758757
1.45	-49.88972222	-0.318758757
-1.1	-69.12972222	-0.318758759
-23.19	-53.77	-0.318758759
3.48	-63.77972222	-0.318758763
-7.75	-60.02	-0.327902139
0.09	-51.11972222	-0.337242164
-15.3	-53.11	-0.346787475
-13.68972222	-57.88972222	-0.346787478
-15.18	-57.02	-0.346787479
1.33	-52.9	-0.356547315
-5.599722222	-43.68	-0.356547325
-2.609722222	-55.72	-0.356547333
-0.629722222	-64.12	-0.366531544
-0.62	-55.54972222	-0.366531555
-12.47	-41.45972222	-0.376750698
-12.77972222	-38.31972222	-0.376750703
-0.4	-51.79972222	-0.387216139
-15.90888889	-47.83333333	-0.387216143
-11.3	-57.84972222	-0.39794
-1.62	-61.61972222	-0.397940007
1.05	-55.86666667	-0.397940009
-19.95444444	-48.6875	-0.397940009
4.566666667	-70.93333333	-0.397940009
4.5	-71.5	-0.397940009
-5.9	-63.38	-0.397940016
